grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Čukarica opština,Čukarica,65.0,2.5 soba,2/2 sprata,,Grejanje na gas,82900.0,,,Da
Beograd,Zvezdara opština,Mirijevo,41.0,1.5 soba,1/4 sprata,,Centralno grejanje,99000.0,Da,,
Beograd,Zvezdara opština,Mirijevo,83.0,3.5 soba,1/4 sprata,,Centralno grejanje,164000.0,,,Da
Beograd,Vračar,Neimar,109.0,4 sobe,3/7 spratova,,Centralno grejanje,380000.0,Da,,
Beograd,Stari Grad opština,Beograd centar,79.0,2.5 soba,3/4 sprata,,Centralno grejanje,285000.0,,,
Beograd,Vračar,Kalenić,103.0,4 sobe,3/5 spratova,,,395000.0,,,Da
Beograd,Čukarica opština,Čukarica,147.0,3 sobe,4/5 spratova,,Grejanje na gas,441300.0,,,Da
Beograd,Zvezdara opština,Konjarnik,56.0,2 sobe,Prizemlje/5 spratova,,Centralno grejanje,105000.0,Da,,
Beograd,Voždovac opština,Braće Jerković,49.0,2 sobe,2/3 sprata,,Etažno grejanje,125000.0,,,Da
Beograd,Novi Beograd,Bežanijski Blokovi,49.0,1.5 soba,1/4 sprata,,Centralno grejanje,150000.0,,,Da
Beograd,Palilula opština,Bogoslovija,77.0,3 sobe,1/4 sprata,,Etažno grejanje,200000.0,,,Da
Beograd,Vračar,Cvetni Trg,94.0,3.5 soba,3/6 spratova,,Etažno grejanje,329000.0,Da,,
Beograd,Voždovac opština,Medaković,79.0,3 sobe,4/7 spratova,,Centralno grejanje,190000.0,,,
Beograd,Savski Venac,Beograđanka,76.0,2.5 soba,1/4 sprata,,Etažno grejanje,228000.0,,,Da
Beograd,Vračar,Čubura,107.0,4 sobe,Visoko prizemlje/3 sprata,,Centralno grejanje,269800.0,,,Da
Beograd,Zvezdara opština,Mirijevo,65.0,2.5 soba,3/5 spratova,,Centralno grejanje,117000.0,,,Da
Beograd,Vračar,Krunski Venac,89.0,5 soba,2/6 spratova,,Centralno grejanje,285000.0,Da,,
Beograd,Novi Beograd,Bežanijska kosa,97.0,3.5 soba,4/6 spratova,,Centralno grejanje,259000.0,Da,,Da
Beograd,Zvezdara opština,Lion,138.0,4.5 soba,5/5 spratova,,Centralno grejanje,387000.0,Da,,Da
Beograd,Zvezdara opština,Mirijevo,76.0,3.5 soba,Visoko prizemlje/4 sprata,,Centralno grejanje,139000.0,Da,,Da
Beograd,Vračar,Pravni fakultet - Vračar,66.0,3.5 soba,Visoko prizemlje/4 sprata,,Etažno grejanje,235000.0,,,
Beograd,Stari Grad opština,Skupština,90.0,3.5 soba,Visoko prizemlje/4 sprata,,Centralno grejanje,290000.0,,,
Beograd,Voždovac opština,Lekino Brdo,41.0,2 sobe,2/3 sprata,Renovirano,Centralno grejanje,137000.0,,,Da
Beograd,Vračar,Crveni Krst Vračar,97.0,4 sobe,3/6 spratova,,Etažno grejanje,350000.0,Da,,Da
Beograd,Novi Beograd,Bežanijski Blokovi,74.0,3 sobe,5/17 spratova,,Centralno grejanje,184000.0,Da,,
Beograd,Rakovica opština,Miljakovac,55.0,1.5 soba,1/5 spratova,,Centralno grejanje,105500.0,Da,,Da
Beograd,Zvezdara opština,Mirijevo,72.0,2.5 soba,4/5 spratova,,Centralno grejanje,147000.0,,,
Beograd,Novi Beograd,Blok 3,56.0,2 sobe,7/9 spratova,,Centralno grejanje,165000.0,Da,,
Beograd,Palilula opština,Palilula,72.0,3 sobe,1/7 spratova,,Centralno grejanje,258660.0,Da,,Da
Beograd,Voždovac opština,Medaković,94.0,4 sobe,6/8 spratova,,Centralno grejanje,240000.0,Da,,Da
Beograd,Savski Venac,Sarajevska,75.0,3 sobe,7/8 spratova,,Centralno grejanje,260000.0,Da,,
Beograd,Novi Beograd,Blok 11,51.0,2 sobe,5/6 spratova,Renovirano,Centralno grejanje,150000.0,,,Da
Beograd,Vračar,Kalenić,102.0,4 sobe,3/5 spratova,,Centralno grejanje,440000.0,,,
Beograd,Palilula opština,Borča,80.0,2.5 soba,6/6 spratova,,,65000.0,Da,,Da
